MSA,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
ATLANTA,1984Q4,"$93,030","$67,110","$25,920",27.9%,0.540,0.333
ATLANTA,1985Q1,"$93,134","$67,825","$25,310",27.2%,0.540,0.328
ATLANTA,1985Q2,"$93,354","$68,443","$24,911",26.7%,0.541,0.326
ATLANTA,1985Q3,"$97,566","$69,026","$28,540",29.3%,0.566,0.376
ATLANTA,1985Q4,"$98,867","$69,562","$29,305",29.6%,0.573,0.389
ATLANTA,1986Q1,"$99,910","$70,079","$29,831",29.9%,0.579,0.399
ATLANTA,1986Q2,"$101,781","$70,613","$31,168",30.6%,0.590,0.420
ATLANTA,1986Q3,"$103,144","$71,235","$31,909",30.9%,0.598,0.432
ATLANTA,1986Q4,"$104,449","$72,011","$32,437",31.1%,0.606,0.443
ATLANTA,1987Q1,"$106,309","$72,971","$33,338",31.4%,0.617,0.458
ATLANTA,1987Q2,"$108,204","$74,056","$34,148",31.6%,0.628,0.472
ATLANTA,1987Q3,"$109,757","$75,146","$34,611",31.5%,0.637,0.481
ATLANTA,1987Q4,"$110,404","$76,126","$34,278",31.0%,0.640,0.480
ATLANTA,1988Q1,"$111,860","$76,939","$34,921",31.2%,0.649,0.492
ATLANTA,1988Q2,"$113,665","$77,583","$36,082",31.7%,0.659,0.512
ATLANTA,1988Q3,"$114,109","$78,138","$35,971",31.5%,0.662,0.513
ATLANTA,1988Q4,"$114,097","$78,668","$35,429",31.1%,0.662,0.508
ATLANTA,1989Q1,"$114,892","$79,256","$35,636",31.0%,0.666,0.514
ATLANTA,1989Q2,"$115,456","$79,858","$35,598",30.8%,0.670,0.516
ATLANTA,1989Q3,"$116,685","$80,491","$36,194",31.0%,0.677,0.527
ATLANTA,1989Q4,"$117,424","$81,146","$36,278",30.9%,0.681,0.530
ATLANTA,1990Q1,"$117,060","$81,732","$35,328",30.2%,0.679,0.517
ATLANTA,1990Q2,"$116,581","$82,424","$34,157",29.3%,0.676,0.501
ATLANTA,1990Q3,"$116,684","$83,129","$33,556",28.8%,0.677,0.495
ATLANTA,1990Q4,"$115,839","$83,825","$32,014",27.6%,0.672,0.474
ATLANTA,1991Q1,"$115,881","$84,518","$31,363",27.1%,0.672,0.467
ATLANTA,1991Q2,"$116,526","$85,154","$31,372",26.9%,0.676,0.469
ATLANTA,1991Q3,"$116,787","$85,729","$31,058",26.6%,0.677,0.467
ATLANTA,1991Q4,"$116,915","$86,226","$30,689",26.2%,0.678,0.464
ATLANTA,1992Q1,"$117,026","$86,713","$30,313",25.9%,0.679,0.462
ATLANTA,1992Q2,"$117,382","$87,118","$30,264",25.8%,0.681,0.464
ATLANTA,1992Q3,"$118,711","$87,616","$31,095",26.2%,0.689,0.479
ATLANTA,1992Q4,"$118,889","$88,308","$30,581",25.7%,0.690,0.472
ATLANTA,1993Q1,"$119,439","$89,165","$30,274",25.3%,0.693,0.468
ATLANTA,1993Q2,"$121,041","$90,324","$30,717",25.4%,0.702,0.476
ATLANTA,1993Q3,"$122,308","$91,552","$30,756",25.1%,0.709,0.479
ATLANTA,1993Q4,"$123,509","$92,715","$30,795",24.9%,0.716,0.482
ATLANTA,1994Q1,"$125,433","$93,722","$31,711",25.3%,0.728,0.499
ATLANTA,1994Q2,"$126,412","$94,562","$31,850",25.2%,0.733,0.504
ATLANTA,1994Q3,"$127,696","$95,300","$32,396",25.4%,0.741,0.516
ATLANTA,1994Q4,"$129,398","$95,991","$33,406",25.8%,0.751,0.535
ATLANTA,1995Q1,"$130,871","$96,757","$34,114",26.1%,0.759,0.552
ATLANTA,1995Q2,"$131,121","$97,490","$33,631",25.6%,0.761,0.548
ATLANTA,1995Q3,"$132,289","$98,334","$33,955",25.7%,0.767,0.556
ATLANTA,1995Q4,"$133,790","$99,356","$34,434",25.7%,0.776,0.568
ATLANTA,1996Q1,"$135,375","$100,549","$34,826",25.7%,0.785,0.576
ATLANTA,1996Q2,"$136,537","$101,918","$34,619",25.4%,0.792,0.576
ATLANTA,1996Q3,"$137,460","$103,290","$34,170",24.9%,0.797,0.572
ATLANTA,1996Q4,"$138,883","$104,543","$34,340",24.7%,0.806,0.578
ATLANTA,1997Q1,"$139,945","$105,570","$34,375",24.6%,0.812,0.582
ATLANTA,1997Q2,"$141,563","$106,432","$35,131",24.8%,0.821,0.599
ATLANTA,1997Q3,"$142,887","$107,185","$35,702",25.0%,0.829,0.613
ATLANTA,1997Q4,"$144,850","$107,901","$36,948",25.5%,0.840,0.638
ATLANTA,1998Q1,"$146,912","$108,681","$38,231",26.0%,0.852,0.666
ATLANTA,1998Q2,"$149,604","$109,475","$40,129",26.8%,0.868,0.704
ATLANTA,1998Q3,"$151,394","$110,338","$41,056",27.1%,0.878,0.725
ATLANTA,1998Q4,"$154,257","$111,312","$42,946",27.8%,0.895,0.763
ATLANTA,1999Q1,"$157,071","$112,423","$44,648",28.4%,0.911,0.799
ATLANTA,1999Q2,"$159,673","$113,590","$46,083",28.9%,0.926,0.830
ATLANTA,1999Q3,"$162,364","$114,775","$47,589",29.3%,0.942,0.862
ATLANTA,1999Q4,"$165,411","$115,925","$49,487",29.9%,0.959,0.901
ATLANTA,2000Q1,"$168,703","$116,913","$51,790",30.7%,0.978,0.946
ATLANTA,2000Q2,"$172,412","$117,996","$54,416",31.6%,1.000,1.000
ATLANTA,2000Q3,"$174,463","$119,132","$55,332",31.7%,1.012,1.023
ATLANTA,2000Q4,"$176,826","$120,384","$56,442",31.9%,1.026,1.050
ATLANTA,2001Q1,"$179,262","$121,972","$57,290",32.0%,1.040,1.076
ATLANTA,2001Q2,"$181,419","$123,420","$57,999",32.0%,1.052,1.096
ATLANTA,2001Q3,"$183,771","$124,842","$58,929",32.1%,1.066,1.119
ATLANTA,2001Q4,"$185,439","$126,168","$59,272",32.0%,1.076,1.131
ATLANTA,2002Q1,"$187,224","$127,199","$60,025",32.1%,1.086,1.146
ATLANTA,2002Q2,"$188,453","$128,258","$60,195",31.9%,1.093,1.153
ATLANTA,2002Q3,"$190,076","$129,200","$60,876",32.0%,1.102,1.171
ATLANTA,2002Q4,"$191,706","$130,019","$61,687",32.2%,1.112,1.191
ATLANTA,2003Q1,"$193,702","$130,805","$62,897",32.5%,1.123,1.219
ATLANTA,2003Q2,"$194,741","$131,710","$63,031",32.4%,1.130,1.227
ATLANTA,2003Q3,"$195,759","$133,089","$62,670",32.0%,1.135,1.224
ATLANTA,2003Q4,"$197,477","$135,255","$62,223",31.5%,1.145,1.219
ATLANTA,2004Q1,"$199,657","$138,337","$61,320",30.7%,1.158,1.204
ATLANTA,2004Q2,"$201,647","$142,120","$59,528",29.5%,1.170,1.173
ATLANTA,2004Q3,"$203,093","$146,073","$57,020",28.1%,1.178,1.128
ATLANTA,2004Q4,"$205,678","$149,728","$55,951",27.2%,1.193,1.111
